Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",136.310000,-127.889000,180.000000,top
"C2","2u2","C_0603",75.900000,-126.800000,180.000000,top
"C3","2u2","C_0603",86.050000,-127.550000,-90.000000,top
"C4","2u2","C_0603",109.600000,-127.750000,-90.000000,top
"C5","2u2","C_0603",117.250000,-127.750000,-90.000000,top
"C6","2u2","C_0603",125.000000,-127.750000,-90.000000,top
"C7","2u2","C_0603",78.600000,-118.050000,-90.000000,top
"C8","2u2","C_0603",94.400000,-118.650000,-90.000000,top
"C9","2u2","C_0603",101.700000,-118.650000,-90.000000,top
"C10","2u2","C_0603",109.000000,-118.650000,-90.000000,top
"C11","2u2","C_0603",116.300000,-118.650000,-90.000000,top
"C12","2u2","C_0603",123.600000,-118.650000,-90.000000,top
"C13","2u2","C_0603",116.250000,-106.900000,-90.000000,top
"C14","2u2","C_0603",130.850000,-106.900000,-90.000000,top
"C15","2u2","C_0603",131.050000,-117.600000,-90.000000,top
"C16","10u","C_0805",73.300000,-130.300000,180.000000,top
"FID1","Fiducial","Fiducial",67.818000,-129.540000,0.000000,top
"FID2","Fiducial","Fiducial",75.438000,-100.711000,90.000000,top
"FID3","Fiducial","Fiducial",136.906000,-103.886000,-90.000000,top
"FID4","Fiducial","Fiducial",136.906000,-124.841000,0.000000,top
"R1","3k3","R_0805",133.200000,-123.500000,180.000000,top
"R2","22k","R_0805",101.350000,-115.450000,0.000000,top
"R3","10k","R_0805",133.200000,-125.700000,180.000000,top
"R4","22k","R_0805",104.850000,-115.450000,180.000000,top
"R5","33","R_0805",133.200000,-121.500000,0.000000,top
"SW1","DMA/ROM","SW_DIP_SPSTx02_Slide_DSHP02TS_P1.27mm",71.120000,-115.062000,0.000000,top
"U1","621024","SOP-32_450mil",87.249000,-107.442000,180.000000,top
"U2","74HCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",83.125000,-120.850000,0.000000,top
"U3","74HCT273PW","TSSOP-20_4.4x6.5mm_P0.65mm",125.950000,-109.075000,-90.000000,top
"U4","74HCT273PW","TSSOP-20_4.4x6.5mm_P0.65mm",111.350000,-109.075000,-90.000000,top
"U6","74AHCT08PW","TSSOP-14_4.4x5mm_P0.65mm",105.200000,-120.850000,0.000000,top
"U7","74AHCT32PW","TSSOP-14_4.4x5mm_P0.65mm",97.900000,-120.850000,0.000000,top
"U8","74AHCT08PW","TSSOP-14_4.4x5mm_P0.65mm",112.500000,-120.850000,0.000000,top
"U9","74AHCT08PW","TSSOP-14_4.4x5mm_P0.65mm",119.800000,-120.850000,0.000000,top
"U10","74AHCT32PW","TSSOP-14_4.4x5mm_P0.65mm",127.100000,-120.850000,0.000000,top
"U11","74LVC1G126GW","SOT-353",122.550000,-127.850000,180.000000,top
"U12","74AHCT1G04GW","SOT-353",83.900000,-127.650000,0.000000,top
"U13","74AHCT1G04GW","SOT-353",78.700000,-127.650000,0.000000,top
"U14","74AHCT1G04GW","SOT-353",81.300000,-127.650000,0.000000,top
"U15","74AHCT1G04GW","SOT-353",111.750000,-127.850000,0.000000,top
"U16","74AHCT1G04GW","SOT-353",119.400000,-127.850000,0.000000,top
"U17","74AHCT1G04GW","SOT-353",133.200000,-117.700000,0.000000,top
"U19","74AHCT1G04GW","SOT-353",127.150000,-127.850000,0.000000,top
"U20","74AHCT1G04GW","SOT-353",129.750000,-127.850000,0.000000,top
